ID,Title,"EFI Areas","Areas of Expertise","UoE Schools",Sectors
48849,"Benedetta Catanzariti","Research Clusters>Critical Data Studies|Research Clusters>Digital Economy and Society",,"College of Arts, Humanities &amp; Social Sciences>School of Social and Political Science",
48852,"Hemangini Gupta","Research Clusters>Critical Data Studies",,"College of Arts, Humanities &amp; Social Sciences>School of Social and Political Science",
48855,"Kevin Guyan","Research Clusters>Critical Data Studies",,"College of Arts, Humanities &amp; Social Sciences>University of Edinburgh Business School",
48858,"Srravya Chandhiramowuli","Research Clusters>Critical Data Studies",,"College of Science &amp; Engineering>School of Informatics",
48861,"Ben Collier","Research Clusters>Critical Data Studies",,"College of Arts, Humanities &amp; Social Sciences>School of Social and Political Science",
48864,"Ben Williamson","Research Clusters>Critical Data Studies",,"College of Arts, Humanities &amp; Social Sciences>Moray House School of Education and Sport",
48867,"Dave Loder","Research Clusters>Creativity, AI and the Human|Research Clusters>Critical Data Studies","AI in creative domains","College of Arts, Humanities &amp; Social Sciences>Edinburgh College of Art",
48870,"Lilian Edwards",,,,
48872,"Charles Raab","Research Clusters>Critical Data Studies",,"College of Arts, Humanities &amp; Social Sciences>School of Social and Political Science",
48875,"Michael Barany","Research Clusters>Critical Data Studies",,"College of Arts, Humanities &amp; Social Sciences>School of Social and Political Science",
48878,"Aditya Singh",,,,
48881,"Vikki Jones","Research Clusters>Critical Data Studies",,"College of Arts, Humanities &amp; Social Sciences>Edinburgh College of Art",
48884,"Paul Schuler","Research Clusters>Critical Data Studies",,"College of Arts, Humanities &amp; Social Sciences>School of Social and Political Science",
48890,"Sotiria Grek","Research Clusters>Critical Data Studies",,"College of Arts, Humanities &amp; Social Sciences>School of Social and Political Science",
48893,"Catherine Montgomery","Research Clusters>Critical Data Studies",,"College of Arts, Humanities &amp; Social Sciences>School of Social and Political Science",
48896,"Gavin Sullivan","Research Clusters>Critical Data Studies",,"College of Arts, Humanities &amp; Social Sciences>School of Law",
48899,"Yiru Zhao","Research Clusters>Critical Data Studies",,"College of Arts, Humanities &amp; Social Sciences>School of Social and Political Science",
49254,"Ewelina Lacka","Research Clusters>Media and Communications","Data|Social Media","College of Arts, Humanities &amp; Social Sciences>University of Edinburgh Business School",
49257,"Nacim Pak-Shiraz","Research Clusters>Media and Communications","cinema|gender|islam|Screen Studies","College of Arts, Humanities &amp; Social Sciences>School of Literatures, Languages and Cultures",
49260,"Louise Connelly","Research Clusters>Media and Communications","digital education|Digital religion (Buddhism)|Online research ethics|Social Media","College of Medicine &amp; Veterinary Medicine>Royal (Dick) School of Veterinary Studies",
49263,"Alex Nevill","Research Clusters>Media and Communications","Digital Design|Screen Studies","College of Arts, Humanities &amp; Social Sciences>Edinburgh College of Art",
49266,"Albert Sharra","Research Clusters>Media and Communications","Journalism|Political Communications|Social Media","College of Arts, Humanities &amp; Social Sciences>School of Social and Political Science",
49270,"Nason Maani","Research Clusters>Media and Communications","Political Communications|Social Media","College of Arts, Humanities &amp; Social Sciences>School of Social and Political Science",
49273,Sarah MacIsaac,"Research Clusters>Media and Communications","Social Media","College of Arts, Humanities &amp; Social Sciences>Moray House School of Education and Sport",
49275,"Tuğrulcan Elmas","Research Clusters>Media and Communications","Data|Social Media","College of Science &amp; Engineering>School of Informatics",
49292,"Cara Wilson","Research Clusters>Children, Interaction and Design|Research Clusters>Creativity, AI and the Human","Human-centred and social dimensions of AI","College of Arts, Humanities &amp; Social Sciences>Edinburgh College of Art",
49295,"Piera Morlacchi","Research Clusters>Creativity, AI and the Human","AI ethics, responsibility, and governance|AI in creative domains|AI in knowledge and learning contexts|Human-centred and social dimensions of AI|Theories and practices of creativity","College of Arts, Humanities &amp; Social Sciences>University of Edinburgh Business School",
49349,"Diane Stockton","Engagement &amp; Innovation>EFI Associate|Centres, Hubs, Projects &amp; Networks>Prevention Hub",,,
49378,"Alexis Grohmann","Research Clusters>Media and Communications",Journalism,"College of Arts, Humanities &amp; Social Sciences>School of Literatures, Languages and Cultures",
49424,Kirstin Lamb,"Centres, Hubs, Projects &amp; Networks>The Binks Hub",,,
49432,"Mary Young","Centres, Hubs, Projects &amp; Networks>Centre for Technomoral Futures",,,
49684,"Hector Fried","Research Clusters>Creativity, AI and the Human","AI in creative domains|AI in knowledge and learning contexts|Human-centred and social dimensions of AI|Theories and practices of creativity","College of Arts, Humanities &amp; Social Sciences>Edinburgh College of Art",
49690,"Kholoud Al-Ajarma","Research Clusters>Media and Communications","Journalism|Social Media","College of Arts, Humanities &amp; Social Sciences>School of Literatures, Languages and Cultures",
49693,"Ben Collier","Research Clusters>Media and Communications","Data|Journalism|Political Communications|Social Media","College of Arts, Humanities &amp; Social Sciences>School of Social and Political Science",
49696,"Wilfried Swenden","Research Clusters>Media and Communications","Data|Digital Design|Journalism|Political Communications|Screen Studies|Social Media","College of Arts, Humanities &amp; Social Sciences>School of Social and Political Science",
49699,"Rahul Sambaraju","Research Clusters>Media and Communications","Journalism|Political Communications|Social Media","College of Arts, Humanities &amp; Social Sciences>School of Philosophy, Psychology and Language Sciences",
49701,"Robert Dunbar","Research Clusters>Media and Communications","Journalism|Screen Studies|Social Media","College of Arts, Humanities &amp; Social Sciences>School of Literatures, Languages and Cultures",
49703,"Marion Schmid","Research Clusters>Media and Communications","Screen Studies","College of Arts, Humanities &amp; Social Sciences>School of Literatures, Languages and Cultures",
49712,"Xuelei Huang","Research Clusters>Media and Communications","Screen Studies","College of Arts, Humanities &amp; Social Sciences>School of Literatures, Languages and Cultures",
49715,"Patrick Theiner","Research Clusters>Media and Communications","Political Communications|Social Media","College of Arts, Humanities &amp; Social Sciences>School of Social and Political Science",
49755,"Chase Ledin","Research Clusters>Media and Communications","Data|Social Media","Usher Institute",
49849,"James Stewart","Research Clusters>Critical Data Studies|Research Clusters>Media and Communications","Data|Digital Design|Political Communications|Social Media","College of Arts, Humanities &amp; Social Sciences>School of Social and Political Science",
50157,"Tamara Trodd","Research Clusters>Media and Communications","Screen Studies","College of Arts, Humanities &amp; Social Sciences>Edinburgh College of Art",
50160,"Youssef Al Hariri","Research Clusters>Media and Communications","Social Media","College of Science &amp; Engineering>School of Informatics",
50166,"Chi Yan Hui, Io","Research Clusters>Media and Communications",,"Usher Institute",
50172,"Jennifer Yule","Research Clusters>Media and Communications","Data|Social Media","College of Arts, Humanities &amp; Social Sciences>University of Edinburgh Business School",
50175,"Charlotte Bosseaux","Research Clusters>Media and Communications","Screen Studies","College of Arts, Humanities &amp; Social Sciences>School of Literatures, Languages and Cultures",
50188,"Sabina Savadova","Research Clusters>Media and Communications","Data|Digital Design","College of Arts, Humanities &amp; Social Sciences>Moray House School of Education and Sport",
